1;Tinamiformes;Tinamous;Tinamofåglar;Tinamidae;Tinamous;Tinamoer
3405;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Momotidae;Motmots;Motmoter
3420;Coraciiformes;Kingfishers, Bee-Eaters, Rollers;Praktfåglar;Meropidae;Bee-eaters;Biätare
3448;Bucerotiformes;Hoopoes, Hornbills and Allies;Härfåglar och näshornsfåglar;Upupidae;Hoopoes;Härfåglar
3453;Bucerotiformes;Hoopoes, Hornbills and Allies;Härfåglar och näshornsfåglar;Phoeniculidae;Wood Hoopoes;Skratthärfåglar
3463;Bucerotiformes;Hoopoes, Hornbills and Allies;Härfåglar och näshornsfåglar;Bucorvidae;Ground Hornbills;Hornkorpar
3466;Bucerotiformes;Hoopoes, Hornbills and Allies;Härfåglar och näshornsfåglar;Bucerotidae;Hornbills;Näshornsfåglar
3526;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Galbulidae;Jacamars;Jakamarer
3545;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Bucconidae;Puffbirds;Trögfåglar
3583;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Capitonidae;New World Barbets;Amerikanska barbetter
3599;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Semnornithidae;Toucan Barbets;Tukanbarbetter
3602;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Ramphastidae;Toucans;Tukaner
3649;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Megalaimidae;Asian Barbets;Asiatiska barbetter
3682;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Lybiidae;African Barbets;Afrikanska barbetter
3725;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Indicatoridae;Honeyguides;Honungsvisare
3743;Piciformes;Woodpeckers, Toucans, Honeyguides;Hackspettartade fåglar;Picidae;Woodpeckers;Hackspettar
3978;Falconiformes;Falcons;Falkfåglar;Falconidae;Caracaras, Falcons;Falkar
4046;Psittaciformes;Parrots, Cockatoos, Lories;Papegojfåglar;Strigopidae;New Zealand Parrots;Maoripapegojor
4051;Psittaciformes;Parrots, Cockatoos, Lories;Papegojfåglar;Cacatuidae;Cockatoos;Kakaduor
4073;Psittaciformes;Parrots, Cockatoos, Lories;Papegojfåglar;Psittacidae;Parrots;Papegojor
4443;Passeriformes;Perching Birds;Tättingar;Acanthisittidae;New Zealand Wrens;Klippsmygar
4448;Passeriformes;Perching Birds;Tättingar;Eurylaimidae;Broadbills;Brednäbbar
4469;Passeriformes;Perching Birds;Tättingar;Pittidae;Pittas;Juveltrastar
4503;Passeriformes;Perching Birds;Tättingar;Furnariidae;Ovenbirds;Ugnfåglar
4816;Passeriformes;Perching Birds;Tättingar;Thamnophilidae;Antbirds;Myrfåglar
5052;Passeriformes;Perching Birds;Tättingar;Formicariidae;Antthrushes;Myrtrastar
5065;Passeriformes;Perching Birds;Tättingar;Grallariidae;Antpittas;Myrpittor
5119;Passeriformes;Perching Birds;Tättingar;Conopophagidae;Gnateaters;Knottfåglar
5131;Passeriformes;Perching Birds;Tättingar;Rhinocryptidae;Tapaculos;Tapakuler
5190;Passeriformes;Perching Birds;Tättingar;Melanopareiidae;Crescentchests;Månbröst
5195;Passeriformes;Perching Birds;Tättingar;Tyrannidae;Tyrant Flycatchers;Tyranner
5628;Passeriformes;Perching Birds;Tättingar;Cotingidae;Cotingas;Kotingor
5695;Passeriformes;Perching Birds;Tättingar;Pipridae;Manakins;Manakiner
5748;Passeriformes;Perching Birds;Tättingar;Tityridae;Tityras, Becards;Tityror
5794;Passeriformes;Perching Birds;Tättingar;Menuridae;Lyrebirds;Lyrfåglar
5797;Passeriformes;Perching Birds;Tättingar;Atrichornithidae;Scrubbirds;Snårfåglar
5800;Passeriformes;Perching Birds;Tättingar;Ptilonorhynchidae;Bowerbirds;Lövsalsfåglar
5821;Passeriformes;Perching Birds;Tättingar;Climacteridae;Australasian Treecreepers;Eukalyptuskrypare
5829;Passeriformes;Perching Birds;Tättingar;Maluridae;Australasian Wrens;Blåsmygar
5859;Passeriformes;Perching Birds;Tättingar;Meliphagidae;Honeyeaters;Honungsfåglar
6047;Passeriformes;Perching Birds;Tättingar;Dasyornithidae;Bristlebirds;Borstsmygar
